渠道代号,日均UV,平均注册率,平均搜索量,访问深度,平均停留时间,订单转化率,投放总时间,素材类型,广告类型,合作方式,广告尺寸,广告卖点
A203,3.69,71.0,214.0,2.3071,419.77,258.0,20,jpg,横幅,roi,140*40,打折
A387,178.7,40.0,324.0,2.0489,157.94,30.0,19,jpg,横幅,cpc,140*40,满减
A388,91.77,22.0,530.0,1.8771,357.93,26.0,4,jpg,横幅,cpc,140*40,满减
A389,1.09,74.0,3382.0,4.2426,364.07,153.0,10,jpg,横幅,cpc,140*40,满减
A390,3.37,28.0,1739.9999999999998,2.1934,313.34,7.0,30,jpg,横幅,cpc,140*40,满减
A391,0.95,141.0,4155.0,4.2113,415.56,276.0,2,jpg,横幅,cpc,140*40,满减
A392,3.3,28.0,852.0,1.7358,155.19,7.0,4,jpg,横幅,cpc,140*40,满减
A393,11.91,32.0,539.0,2.3751,243.29,32.0,4,jpg,横幅,cpc,140*40,满减
A394,49.21,38.0,448.0,2.3813,257.53,30.0,6,jpg,横幅,cpc,140*40,满减
A395,46.31,44.0,559.0,2.2621,231.91,28.999999999999996,16,jpg,横幅,cpc,140*40,满减
A396,125.55,21.0,130.0,2.0766,238.87,18.0,19,jpg,横幅,cpc,140*40,满减
A397,115.38,20.0,184.0,2.0319,205.02,18.0,8,jpg,横幅,cpc,140*40,满减
A398,12.71,8.0,188.0,2.0617,228.4,23.999999999999996,21,jpg,横幅,cpc,140*40,满减
A399,0.74,0.0,125.0,1.425,152.1,0.0,14,jpg,横幅,cpc,140*40,满减
A400,408.42,15.0,117.0,1.9114,172.92,25.0,9,jpg,横幅,cpc,140*40,满减
A401,13.52,21.0,141.0,1.8211,176.53,25.0,15,jpg,横幅,cpc,140*40,满减
A402,1.53,128.0,128.0,1.6603,222.31,47.0,12,jpg,横幅,cpc,140*40,满减
A403,2.32,0.0,42.0,1.9789,267.97,0.0,30,jpg,横幅,cpc,140*40,满减
A404,20.6,9.0,140.0,1.7237,245.72,16.0,11,jpg,横幅,cpc,140*40,满减
A405,31.84,15.0,132.0,1.6553,227.03,11.999999999999998,22,jpg,横幅,cpc,140*40,满减
A406,30.74,31.0,103.0,1.6126,273.09,27.0,14,jpg,横幅,cpc,140*40,满减
A407,87.57,14.0,94.0,1.7953,170.74,26.0,13,jpg,横幅,cpc,140*40,满减
A408,155.81,16.0,122.00000000000001,1.8087,165.21,26.0,9,jpg,横幅,cpc,140*40,满减
A409,1.42,0.0,133.0,1.5467,195.21,17.0,19,jpg,横幅,cpc,140*40,满减
A410,471.3,21.0,115.0,1.7931,172.97,26.0,30,jpg,横幅,cpc,140*40,满减
A411,397.16,20.0,105.0,2.3973,244.97,26.0,23,jpg,横幅,cpc,140*40,满减
A412,0.73,0.0,120.0,2.0843,266.12,0.0,18,jpg,横幅,cpc,140*40,满减
A413,56.99,28.999999999999996,124.0,1.8223,158.79,23.999999999999996,5,jpg,横幅,cpc,140*40,满减
A414,2699.42,60.0,799.0,3.8914,362.45,89.0,18,jpg,横幅,cpc,140*40,满减
A415,1.26,0.0,152.0,1.8485,103.7,0.0,12,jpg,横幅,cpc,140*40,满减
A416,0.97,95.99999999999999,288.0,2.1058,263.03,25.0,25,jpg,横幅,cpc,140*40,满减
A417,51.47,36.0,90.00000000000001,1.4805,177.47,41.0,29,jpg,横幅,cpc,140*40,满减
A418,396.72,27.0,91.0,1.5081,154.08,31.0,27,jpg,横幅,cpc,140*40,满减
A419,120.11,42.0,95.0,1.4805,161.68,34.0,27,jpg,横幅,cpc,140*40,满减
A420,162.44,11.999999999999998,94.0,1.6565,111.44,13.0,23,jpg,横幅,cpc,140*40,满减
A421,18.11,16.0,65.0,1.8496,126.2,23.999999999999996,30,jpg,横幅,cpc,140*40,满减
A422,3282.76,23.999999999999996,82.0,2.3239,247.37,28.999999999999996,21,jpg,横幅,cpc,140*40,满减
A423,3.02,0.0,62.0,2.3292,319.37,63.0,18,jpg,横幅,cpc,140*40,满减
A424,2687.24,37.0,90.00000000000001,2.4957,244.23,49.0,28,jpg,横幅,cpc,140*40,满减
A425,148.06,63.0,225.99999999999997,3.4601,346.18,115.0,7,jpg,横幅,cpc,140*40,满减
A426,975.09,44.0,109.0,2.4405,221.94,65.0,26,jpg,横幅,cpc,140*40,满减
A427,1.78,53.0,107.0,2.2299,258.69,40.0,23,jpg,横幅,cpc,140*40,满减
A428,1.02,0.0,190.0,1.9143,383.9,0.0,5,jpg,横幅,cpc,140*40,满减
A429,0.72,0.0,0.0,1.8182,452.26,0.0,13,jpg,横幅,cpc,140*40,满减
A430,1.41,67.0,201.0,1.7517,353.21,0.0,12,jpg,横幅,cpc,140*40,满减
A431,408.62,33.0,183.0,2.9112,300.89,56.0,30,jpg,横幅,cpc,140*40,满减
A432,26.0,41.0,75.0,1.5792,224.96,17.0,2,jpg,横幅,cpc,140*40,满减
A433,5.37,18.0,180.00000000000003,1.9928,181.93,49.0,15,jpg,横幅,cpc,140*40,满减
A434,131.25,40.0,82.0,2.0127,235.72,72.0,6,jpg,横幅,cpc,140*40,满减
A435,1021.84,11.999999999999998,85.0,2.0031,191.94,14.0,13,jpg,横幅,cpc,308*388,满减
A436,1.45,0.0,0.0,1.8649,183.42,16.0,14,jpg,横幅,cpc,308*388,满减
A437,397.25,40.0,174.0,2.7874,292.63,28.999999999999996,8,jpg,横幅,cpc,308*388,满减
A438,158.33,35.0,138.0,2.5696,296.33,23.0,1,jpg,横幅,cpc,308*388,满减
A439,1.34,0.0,0.0,1.3037,233.04,0.0,24,jpg,横幅,cpc,308*388,满减
A440,3.89,23.999999999999996,47.99999999999999,2.2153,448.55,43.0,19,jpg,横幅,cpc,308*388,满减
A441,4.22,0.0,184.0,1.8782,218.95,11.0,7,jpg,横幅,cpc,308*388,满减
A442,1.13,0.0,168.0,1.8487,328.79,0.0,25,jpg,横幅,cpc,308*388,满减
A443,62.11,2.0,107.0,1.8414,187.24,15.0,12,jpg,横幅,cpc,308*388,满减
A444,434.67,11.999999999999998,119.00000000000001,2.6377,227.92,17.0,12,jpg,横幅,cpc,308*388,满减
A445,5.12,76.0,170.0,2.2231,245.51,5.0,19,jpg,横幅,cpc,308*388,满减
A446,1.23,391.0,0.0,2.1172,451.57,39.0,14,jpg,横幅,cpc,308*388,满减
A447,0.85,0.0,115.0,2.2414,321.12,168.0,27,jpg,横幅,cpc,308*388,满减
A448,351.81,28.0,102.00000000000001,2.5722,258.83,44.0,11,jpg,横幅,cpc,308*388,满减
A449,28.28,14.0,38.0,2.52,245.31,17.0,6,jpg,横幅,cpc,308*388,满减
A450,216.24,19.0,106.0,2.3688,205.55,11.999999999999998,27,jpg,横幅,cpc,308*388,满减
A451,37.56,15.0,159.0,2.265,238.15,57.99999999999999,9,jpg,横幅,cpc,308*388,满减
A452,166.28,34.0,57.0,2.6545,246.89,28.999999999999996,15,jpg,横幅,cpc,308*388,满减
A453,0.75,0.0,0.0,1.4026,137.35,0.0,17,jpg,横幅,cpc,308*388,满减
A454,1.97,50.0,0.0,1.7525,196.86,11.999999999999998,24,jpg,横幅,cpc,308*388,满减
A455,4.44,0.0,0.0,1.3474,507.23,5.0,23,jpg,横幅,cpc,308*388,满减
A456,31.71,2.9999999999999996,5.999999999999999,1.0971,263.7,1.0,15,jpg,横幅,cpc,308*388,满减
A457,127.05,5.999999999999999,28.999999999999996,1.2228,171.44,2.9999999999999996,5,jpg,横幅,cpc,308*388,满减
A458,8.99,0.0,33.0,1.4880000000000002,170.9,5.0,4,jpg,横幅,cpc,308*388,满减
A459,7.75,0.0,13.0,1.0772,403.79,0.0,5,jpg,横幅,cpc,308*388,满减
A460,239.05,7.0,17.0,1.1348,306.17,4.0,25,jpg,横幅,cpc,308*388,满减
A461,230.14,0.0,18.0,1.0898,272.55,1.0,17,jpg,横幅,cpc,308*388,满减
A462,8.28,0.0,36.0,1.0597,232.46,5.999999999999999,4,jpg,横幅,cpc,308*388,满减
A463,16.76,5.999999999999999,0.0,1.1097,348.37,0.0,17,jpg,横幅,cpc,308*388,满减
A464,2.42,0.0,41.0,1.0531,178.38,0.0,5,jpg,横幅,cpc,308*388,满减
A465,7.34,0.0,67.0,1.1566,333.67,2.9999999999999996,18,jpg,横幅,cpc,308*388,满减
A466,1.57,0.0,0.0,1.6164,193.02,0.0,27,jpg,横幅,cpc,308*388,满减
A467,1.38,0.0,0.0,2.0719,197.82,0.0,2,jpg,横幅,cpc,308*388,满减
A468,54.69,27.0,14.0,2.2761,216.27,15.0,26,jpg,横幅,cpc,308*388,满减
A469,1.65,172.0,57.0,2.4023,252.81,28.999999999999996,4,jpg,横幅,cpc,308*388,满减
A470,23.52,50.0,21.0,2.5657,188.77,14.0,13,jpg,横幅,cpc,308*388,满减
A471,64.87,15.0,134.0,2.2853,248.46,15.0,24,jpg,横幅,cpc,308*388,满减
A472,5.76,0.0,85.0,1.6576,101.15,25.0,29,jpg,横幅,cpc,308*388,满减
A473,15.28,49.0,339.0,2.5675,291.15,67.0,14,jpg,横幅,cpc,308*388,满减
A474,50.49,41.0,285.0,2.7619,207.25,33.0,26,jpg,横幅,cpc,308*388,满减
A475,0.96,100.0,300.0,2.32,183.64,0.0,19,jpg,横幅,cpc,308*388,满减
